crim,nox,rm,ptratio,lstat,medv
0.00632,0.538,6.575,15.3,4.98,24
0.02731,0.469,6.421,17.8,9.14,21.6
0.02729,0.469,7.185,17.8,4.03,34.7
0.03237,0.458,6.998,18.7,2.94,33.4
0.06905,0.458,7.147,18.7,5.33,36.2
0.02985,0.458,6.43,18.7,5.21,28.7
0.08829,0.524,6.012,15.2,12.43,22.9
0.14455,0.524,6.172,15.2,19.15,27.1
0.21124,0.524,5.631,15.2,29.93,16.5
0.17004,0.524,6.004,15.2,17.1,18.9
0.22489,0.524,6.377,15.2,20.45,15
0.11747,0.524,6.009,15.2,13.27,18.9
0.09378,0.524,5.889,15.2,15.71,21.7
0.62976,0.538,5.949,21,8.26,20.4
0.63796,0.538,6.096,21,10.26,18.2
0.62739,0.538,5.834,21,8.47,19.9
1.05393,0.538,5.935,21,6.58,23.1
0.7842,0.538,5.99,21,14.67,17.5
0.80271,0.538,5.456,21,11.69,20.2
0.7258,0.538,5.727,21,11.28,18.2
1.25179,0.538,5.57,21,21.02,13.6
0.85204,0.538,5.965,21,13.83,19.6
1.23247,0.538,6.142,21,18.72,15.2
0.98843,0.538,5.813,21,19.88,14.5
0.75026,0.538,5.924,21,16.3,15.6
0.84054,0.538,5.599,21,16.51,13.9
0.67191,0.538,5.813,21,14.81,16.6
0.95577,0.538,6.047,21,17.28,14.8
0.77299,0.538,6.495,21,12.8,18.4
1.00245,0.538,6.674,21,11.98,21
1.13081,0.538,5.713,21,22.6,12.7
1.35472,0.538,6.072,21,13.04,14.5
1.38799,0.538,5.95,21,27.71,13.2
1.15172,0.538,5.701,21,18.35,13.1
1.61282,0.538,6.096,21,20.34,13.5
0.06417,0.499,5.933,19.2,9.68,18.9
0.09744,0.499,5.841,19.2,11.41,20
0.08014,0.499,5.85,19.2,8.77,21
0.17505,0.499,5.966,19.2,10.13,24.7
0.02763,0.428,6.595,18.3,4.32,30.8
0.03359,0.428,7.024,18.3,1.98,34.9
0.12744,0.448,6.77,17.9,4.84,26.6
0.1415,0.448,6.169,17.9,5.81,25.3
0.15936,0.448,6.211,17.9,7.44,24.7
0.12269,0.448,6.069,17.9,9.55,21.2
0.17142,0.448,5.682,17.9,10.21,19.3
0.18836,0.448,5.786,17.9,14.15,20
0.22927,0.448,6.03,17.9,18.8,16.6
0.25387,0.448,5.399,17.9,30.81,14.4
0.21977,0.448,5.602,17.9,16.2,19.4
0.08873,0.439,5.963,16.8,13.45,19.7
0.04337,0.439,6.115,16.8,9.43,20.5
0.0536,0.439,6.511,16.8,5.28,25
0.04981,0.439,5.998,16.8,8.43,23.4
0.0136,0.41,5.888,21.1,14.8,18.9
0.01311,0.403,7.249,17.9,4.81,35.4
0.02055,0.41,6.383,17.3,5.77,24.7
0.01432,0.411,6.816,15.1,3.95,31.6
0.15445,0.453,6.145,19.7,6.86,23.3
0.10328,0.453,5.927,19.7,9.22,19.6
0.14932,0.453,5.741,19.7,13.15,18.7
0.17171,0.453,5.966,19.7,14.44,16
0.11027,0.453,6.456,19.7,6.73,22.2
0.1265,0.453,6.762,19.7,9.5,25
0.01951,0.4161,7.104,18.6,8.05,33
0.03584,0.398,6.29,16.1,4.67,23.5
0.04379,0.398,5.787,16.1,10.24,19.4
0.05789,0.409,5.878,18.9,8.1,22
0.13554,0.409,5.594,18.9,13.09,17.4
0.12816,0.409,5.885,18.9,8.79,20.9
0.08826,0.413,6.417,19.2,6.72,24.2
0.15876,0.413,5.961,19.2,9.88,21.7
0.09164,0.413,6.065,19.2,5.52,22.8
0.19539,0.413,6.245,19.2,7.54,23.4
0.07896,0.437,6.273,18.7,6.78,24.1
0.09512,0.437,6.286,18.7,8.94,21.4
0.10153,0.437,6.279,18.7,11.97,20
0.08707,0.437,6.14,18.7,10.27,20.8
0.05646,0.437,6.232,18.7,12.34,21.2
0.08387,0.437,5.874,18.7,9.1,20.3
0.04113,0.426,6.727,19,5.29,28
0.04462,0.426,6.619,19,7.22,23.9
0.03659,0.426,6.302,19,6.72,24.8
0.03551,0.426,6.167,19,7.51,22.9
0.05059,0.449,6.389,18.5,9.62,23.9
0.05735,0.449,6.63,18.5,6.53,26.6
0.05188,0.449,6.015,18.5,12.86,22.5
0.07151,0.449,6.121,18.5,8.44,22.2
0.0566,0.489,7.007,17.8,5.5,23.6
0.05302,0.489,7.079,17.8,5.7,28.7
0.04684,0.489,6.417,17.8,8.81,22.6
0.03932,0.489,6.405,17.8,8.2,22
0.04203,0.464,6.442,18.2,8.16,22.9
0.02875,0.464,6.211,18.2,6.21,25
0.04294,0.464,6.249,18.2,10.59,20.6
0.12204,0.445,6.625,18,6.65,28.4
0.11504,0.445,6.163,18,11.34,21.4
0.12083,0.445,8.069,18,4.21,38.7
0.08187,0.445,7.82,18,3.57,43.8
0.0686,0.445,7.416,18,6.19,33.2
0.14866,0.52,6.727,20.9,9.42,27.5
0.11432,0.52,6.781,20.9,7.67,26.5
0.22876,0.52,6.405,20.9,10.63,18.6
0.21161,0.52,6.137,20.9,13.44,19.3
0.1396,0.52,6.167,20.9,12.33,20.1
0.13262,0.52,5.851,20.9,16.47,19.5
0.1712,0.52,5.836,20.9,18.66,19.5
0.13117,0.52,6.127,20.9,14.09,20.4
0.12802,0.52,6.474,20.9,12.27,19.8
0.26363,0.52,6.229,20.9,15.55,19.4
0.10793,0.52,6.195,20.9,13,21.7
0.10084,0.547,6.715,17.8,10.16,22.8
0.12329,0.547,5.913,17.8,16.21,18.8
0.22212,0.547,6.092,17.8,17.09,18.7
0.14231,0.547,6.254,17.8,10.45,18.5
0.17134,0.547,5.928,17.8,15.76,18.3
0.13158,0.547,6.176,17.8,12.04,21.2
0.15098,0.547,6.021,17.8,10.3,19.2
0.13058,0.547,5.872,17.8,15.37,20.4
0.14476,0.547,5.731,17.8,13.61,19.3
0.06899,0.581,5.87,19.1,14.37,22
0.07165,0.581,6.004,19.1,14.27,20.3
0.09299,0.581,5.961,19.1,17.93,20.5
0.15038,0.581,5.856,19.1,25.41,17.3
0.09849,0.581,5.879,19.1,17.58,18.8
0.16902,0.581,5.986,19.1,14.81,21.4
0.38735,0.581,5.613,19.1,27.26,15.7
0.25915,0.624,5.693,21.2,17.19,16.2
0.32543,0.624,6.431,21.2,15.39,18
0.88125,0.624,5.637,21.2,18.34,14.3
0.34006,0.624,6.458,21.2,12.6,19.2
1.19294,0.624,6.326,21.2,12.26,19.6
0.59005,0.624,6.372,21.2,11.12,23
0.32982,0.624,5.822,21.2,15.03,18.4
0.97617,0.624,5.757,21.2,17.31,15.6
0.55778,0.624,6.335,21.2,16.96,18.1
0.32264,0.624,5.942,21.2,16.9,17.4
0.35233,0.624,6.454,21.2,14.59,17.1
0.2498,0.624,5.857,21.2,21.32,13.3
0.54452,0.624,6.151,21.2,18.46,17.8
0.2909,0.624,6.174,21.2,24.16,14
1.62864,0.624,5.019,21.2,34.41,14.4
3.32105,0.871,5.403,14.7,26.82,13.4
4.0974,0.871,5.468,14.7,26.42,15.6
2.77974,0.871,4.903,14.7,29.29,11.8
2.37934,0.871,6.13,14.7,27.8,13.8
2.15505,0.871,5.628,14.7,16.65,15.6
2.36862,0.871,4.926,14.7,29.53,14.6
2.33099,0.871,5.186,14.7,28.32,17.8
2.73397,0.871,5.597,14.7,21.45,15.4
1.6566,0.871,6.122,14.7,14.1,21.5
1.49632,0.871,5.404,14.7,13.28,19.6
1.12658,0.871,5.012,14.7,12.12,15.3
2.14918,0.871,5.709,14.7,15.79,19.4
1.41385,0.871,6.129,14.7,15.12,17
3.53501,0.871,6.152,14.7,15.02,15.6
2.44668,0.871,5.272,14.7,16.14,13.1
1.22358,0.605,6.943,14.7,4.59,41.3
1.34284,0.605,6.066,14.7,6.43,24.3
1.42502,0.871,6.51,14.7,7.39,23.3
1.27346,0.605,6.25,14.7,5.5,27
1.46336,0.605,7.489,14.7,1.73,50
1.83377,0.605,7.802,14.7,1.92,50
1.51902,0.605,8.375,14.7,3.32,50
2.24236,0.605,5.854,14.7,11.64,22.7
2.924,0.605,6.101,14.7,9.81,25
2.01019,0.605,7.929,14.7,3.7,50
1.80028,0.605,5.877,14.7,12.14,23.8
2.3004,0.605,6.319,14.7,11.1,23.8
2.44953,0.605,6.402,14.7,11.32,22.3
1.20742,0.605,5.875,14.7,14.43,17.4
2.3139,0.605,5.88,14.7,12.03,19.1
0.13914,0.51,5.572,16.6,14.69,23.1
0.09178,0.51,6.416,16.6,9.04,23.6
0.08447,0.51,5.859,16.6,9.64,22.6
0.06664,0.51,6.546,16.6,5.33,29.4
0.07022,0.51,6.02,16.6,10.11,23.2
0.05425,0.51,6.315,16.6,6.29,24.6
0.06642,0.51,6.86,16.6,6.92,29.9
0.0578,0.488,6.98,17.8,5.04,37.2
0.06588,0.488,7.765,17.8,7.56,39.8
0.06888,0.488,6.144,17.8,9.45,36.2
0.09103,0.488,7.155,17.8,4.82,37.9
0.10008,0.488,6.563,17.8,5.68,32.5
0.08308,0.488,5.604,17.8,13.98,26.4
0.06047,0.488,6.153,17.8,13.15,29.6
0.05602,0.488,7.831,17.8,4.45,50
0.07875,0.437,6.782,15.2,6.68,32
0.12579,0.437,6.556,15.2,4.56,29.8
0.0837,0.437,7.185,15.2,5.39,34.9
0.09068,0.437,6.951,15.2,5.1,37
0.06911,0.437,6.739,15.2,4.69,30.5
0.08664,0.437,7.178,15.2,2.87,36.4
0.02187,0.401,6.8,15.6,5.03,31.1
0.01439,0.401,6.604,15.6,4.38,29.1
0.01381,0.422,7.875,14.4,2.97,50
0.04011,0.404,7.287,12.6,4.08,33.3
0.04666,0.404,7.107,12.6,8.61,30.3
0.03768,0.404,7.274,12.6,6.62,34.6
0.0315,0.403,6.975,17,4.56,34.9
0.01778,0.403,7.135,17,4.45,32.9
0.03445,0.415,6.162,14.7,7.43,24.1
0.02177,0.415,7.61,14.7,3.11,42.3
0.0351,0.4161,7.853,14.7,3.81,48.5
0.02009,0.4161,8.034,14.7,2.88,50
0.13642,0.489,5.891,18.6,10.87,22.6
0.22969,0.489,6.326,18.6,10.97,24.4
0.25199,0.489,5.783,18.6,18.06,22.5
0.13587,0.489,6.064,18.6,14.66,24.4
0.43571,0.489,5.344,18.6,23.09,20
0.17446,0.489,5.96,18.6,17.27,21.7
0.37578,0.489,5.404,18.6,23.98,19.3
0.21719,0.489,5.807,18.6,16.03,22.4
0.14052,0.489,6.375,18.6,9.38,28.1
0.28955,0.489,5.412,18.6,29.55,23.7
0.19802,0.489,6.182,18.6,9.47,25
0.0456,0.55,5.888,16.4,13.51,23.3
0.07013,0.55,6.642,16.4,9.69,28.7
0.11069,0.55,5.951,16.4,17.92,21.5
0.11425,0.55,6.373,16.4,10.5,23
0.35809,0.507,6.951,17.4,9.71,26.7
0.40771,0.507,6.164,17.4,21.46,21.7
0.62356,0.507,6.879,17.4,9.93,27.5
0.6147,0.507,6.618,17.4,7.6,30.1
0.31533,0.504,8.266,17.4,4.14,44.8
0.52693,0.504,8.725,17.4,4.63,50
0.38214,0.504,8.04,17.4,3.13,37.6
0.41238,0.504,7.163,17.4,6.36,31.6
0.29819,0.504,7.686,17.4,3.92,46.7
0.44178,0.504,6.552,17.4,3.76,31.5
0.537,0.504,5.981,17.4,11.65,24.3
0.46296,0.504,7.412,17.4,5.25,31.7
0.57529,0.507,8.337,17.4,2.47,41.7
0.33147,0.507,8.247,17.4,3.95,48.3
0.44791,0.507,6.726,17.4,8.05,29
0.33045,0.507,6.086,17.4,10.88,24
0.52058,0.507,6.631,17.4,9.54,25.1
0.51183,0.507,7.358,17.4,4.73,31.5
0.08244,0.428,6.481,16.6,6.36,23.7
0.09252,0.428,6.606,16.6,7.37,23.3
0.11329,0.428,6.897,16.6,11.38,22
0.10612,0.428,6.095,16.6,12.4,20.1
0.1029,0.428,6.358,16.6,11.22,22.2
0.12757,0.428,6.393,16.6,5.19,23.7
0.20608,0.431,5.593,19.1,12.5,17.6
0.19133,0.431,5.605,19.1,18.46,18.5
0.33983,0.431,6.108,19.1,9.16,24.3
0.19657,0.431,6.226,19.1,10.15,20.5
0.16439,0.431,6.433,19.1,9.52,24.5
0.19073,0.431,6.718,19.1,6.56,26.2
0.1403,0.431,6.487,19.1,5.9,24.4
0.21409,0.431,6.438,19.1,3.59,24.8
0.08221,0.431,6.957,19.1,3.53,29.6
0.36894,0.431,8.259,19.1,3.54,42.8
0.04819,0.392,6.108,16.4,6.57,21.9
0.03548,0.392,5.876,16.4,9.25,20.9
0.01538,0.394,7.454,15.9,3.11,44
0.61154,0.647,8.704,13,5.12,50
0.66351,0.647,7.333,13,7.79,36
0.65665,0.647,6.842,13,6.9,30.1
0.54011,0.647,7.203,13,9.59,33.8
0.53412,0.647,7.52,13,7.26,43.1
0.52014,0.647,8.398,13,5.91,48.8
0.82526,0.647,7.327,13,11.25,31
0.55007,0.647,7.206,13,8.1,36.5
0.76162,0.647,5.56,13,10.45,22.8
0.7857,0.647,7.014,13,14.79,30.7
0.57834,0.575,8.297,13,7.44,50
0.5405,0.575,7.47,13,3.16,43.5
0.09065,0.464,5.92,18.6,13.65,20.7
0.29916,0.464,5.856,18.6,13,21.1
0.16211,0.464,6.24,18.6,6.59,25.2
0.1146,0.464,6.538,18.6,7.73,24.4
0.22188,0.464,7.691,18.6,6.58,35.2
0.05644,0.447,6.758,17.6,3.53,32.4
0.09604,0.447,6.854,17.6,2.98,32
0.10469,0.447,7.267,17.6,6.05,33.2
0.06127,0.447,6.826,17.6,4.16,33.1
0.07978,0.447,6.482,17.6,7.19,29.1
0.21038,0.4429,6.812,14.9,4.85,35.1
0.03578,0.4429,7.82,14.9,3.76,45.4
0.03705,0.4429,6.968,14.9,4.59,35.4
0.06129,0.4429,7.645,14.9,3.01,46
0.01501,0.401,7.923,13.6,3.16,50
0.00906,0.4,7.088,15.3,7.85,32.2
0.01096,0.389,6.453,15.3,8.23,22
0.01965,0.385,6.23,18.2,12.93,20.1
0.03871,0.405,6.209,16.6,7.14,23.2
0.0459,0.405,6.315,16.6,7.6,22.3
0.04297,0.405,6.565,16.6,9.51,24.8
0.03502,0.411,6.861,19.2,3.33,28.5
0.07886,0.411,7.148,19.2,3.56,37.3
0.03615,0.411,6.63,19.2,4.7,27.9
0.08265,0.437,6.127,16,8.58,23.9
0.08199,0.437,6.009,16,10.4,21.7
0.12932,0.437,6.678,16,6.27,28.6
0.05372,0.437,6.549,16,7.39,27.1
0.14103,0.437,5.79,16,15.84,20.3
0.06466,0.4,6.345,14.8,4.97,22.5
0.05561,0.4,7.041,14.8,4.74,29
0.04417,0.4,6.871,14.8,6.07,24.8
0.03537,0.433,6.59,16.1,9.5,22
0.09266,0.433,6.495,16.1,8.67,26.4
0.1,0.433,6.982,16.1,4.86,33.1
0.05515,0.472,7.236,18.4,6.93,36.1
0.05479,0.472,6.616,18.4,8.93,28.4
0.07503,0.472,7.42,18.4,6.47,33.4
0.04932,0.472,6.849,18.4,7.53,28.2
0.49298,0.544,6.635,18.4,4.54,22.8
0.3494,0.544,5.972,18.4,9.97,20.3
2.63548,0.544,4.973,18.4,12.64,16.1
0.79041,0.544,6.122,18.4,5.98,22.1
0.26169,0.544,6.023,18.4,11.72,19.4
0.26938,0.544,6.266,18.4,7.9,21.6
0.3692,0.544,6.567,18.4,9.28,23.8
0.25356,0.544,5.705,18.4,11.5,16.2
0.31827,0.544,5.914,18.4,18.33,17.8
0.24522,0.544,5.782,18.4,15.94,19.8
0.40202,0.544,6.382,18.4,10.36,23.1
0.47547,0.544,6.113,18.4,12.73,21
0.1676,0.493,6.426,19.6,7.2,23.8
0.18159,0.493,6.376,19.6,6.87,23.1
0.35114,0.493,6.041,19.6,7.7,20.4
0.28392,0.493,5.708,19.6,11.74,18.5
0.34109,0.493,6.415,19.6,6.12,25
0.19186,0.493,6.431,19.6,5.08,24.6
0.30347,0.493,6.312,19.6,6.15,23
0.24103,0.493,6.083,19.6,12.79,22.2
0.06617,0.46,5.868,16.9,9.97,19.3
0.06724,0.46,6.333,16.9,7.34,22.6
0.04544,0.46,6.144,16.9,9.09,19.8
0.05023,0.4379,5.706,16.9,12.43,17.1
0.03466,0.4379,6.031,16.9,7.83,19.4
0.05083,0.515,6.316,20.2,5.68,22.2
0.03738,0.515,6.31,20.2,6.75,20.7
0.03961,0.515,6.037,20.2,8.01,21.1
0.03427,0.515,5.869,20.2,9.8,19.5
0.03041,0.515,5.895,20.2,10.56,18.5
0.03306,0.515,6.059,20.2,8.51,20.6
0.05497,0.515,5.985,20.2,9.74,19
0.06151,0.515,5.968,20.2,9.29,18.7
0.01301,0.442,7.241,15.5,5.49,32.7
0.02498,0.518,6.54,15.9,8.65,16.5
0.02543,0.484,6.696,17.6,7.18,23.9
0.03049,0.484,6.874,17.6,4.61,31.2
0.03113,0.442,6.014,18.8,10.53,17.5
0.06162,0.442,5.898,18.8,12.67,17.2
0.0187,0.429,6.516,17.9,6.36,23.1
0.01501,0.435,6.635,17,5.99,24.5
0.02899,0.429,6.939,19.7,5.89,26.6
0.06211,0.429,6.49,19.7,5.98,22.9
0.0795,0.411,6.579,18.3,5.49,24.1
0.07244,0.411,5.884,18.3,7.79,18.6
0.01709,0.41,6.728,17,4.5,30.1
0.04301,0.413,5.663,22,8.05,18.2
0.10659,0.413,5.936,22,5.57,20.6
8.98296,0.77,6.212,20.2,17.6,17.8
3.8497,0.77,6.395,20.2,13.27,21.7
5.20177,0.77,6.127,20.2,11.48,22.7
4.26131,0.77,6.112,20.2,12.67,22.6
4.54192,0.77,6.398,20.2,7.79,25
3.83684,0.77,6.251,20.2,14.19,19.9
3.67822,0.77,5.362,20.2,10.19,20.8
4.22239,0.77,5.803,20.2,14.64,16.8
3.47428,0.718,8.78,20.2,5.29,21.9
4.55587,0.718,3.561,20.2,7.12,27.5
3.69695,0.718,4.963,20.2,14,21.9
13.5222,0.631,3.863,20.2,13.33,23.1
4.89822,0.631,4.97,20.2,3.26,50
5.66998,0.631,6.683,20.2,3.73,50
6.53876,0.631,7.016,20.2,2.96,50
9.2323,0.631,6.216,20.2,9.53,50
8.26725,0.668,5.875,20.2,8.88,50
11.1081,0.668,4.906,20.2,34.77,13.8
18.4982,0.668,4.138,20.2,37.97,13.8
19.6091,0.671,7.313,20.2,13.44,15
15.288,0.671,6.649,20.2,23.24,13.9
9.82349,0.671,6.794,20.2,21.24,13.3
23.6482,0.671,6.38,20.2,23.69,13.1
17.8667,0.671,6.223,20.2,21.78,10.2
88.9762,0.671,6.968,20.2,17.21,10.4
15.8744,0.671,6.545,20.2,21.08,10.9
9.18702,0.7,5.536,20.2,23.6,11.3
7.99248,0.7,5.52,20.2,24.56,12.3
20.0849,0.7,4.368,20.2,30.63,8.8
16.8118,0.7,5.277,20.2,30.81,7.2
24.3938,0.7,4.652,20.2,28.28,10.5
22.5971,0.7,5,20.2,31.99,7.4
14.3337,0.7,4.88,20.2,30.62,10.2
8.15174,0.7,5.39,20.2,20.85,11.5
6.96215,0.7,5.713,20.2,17.11,15.1
5.29305,0.7,6.051,20.2,18.76,23.2
11.5779,0.7,5.036,20.2,25.68,9.7
8.64476,0.693,6.193,20.2,15.17,13.8
13.3598,0.693,5.887,20.2,16.35,12.7
8.71675,0.693,6.471,20.2,17.12,13.1
5.87205,0.693,6.405,20.2,19.37,12.5
7.67202,0.693,5.747,20.2,19.92,8.5
38.3518,0.693,5.453,20.2,30.59,5
9.91655,0.693,5.852,20.2,29.97,6.3
25.0461,0.693,5.987,20.2,26.77,5.6
14.2362,0.693,6.343,20.2,20.32,7.2
9.59571,0.693,6.404,20.2,20.31,12.1
24.8017,0.693,5.349,20.2,19.77,8.3
41.5292,0.693,5.531,20.2,27.38,8.5
67.9208,0.693,5.683,20.2,22.98,5
20.7162,0.659,4.138,20.2,23.34,11.9
11.9511,0.659,5.608,20.2,12.13,27.9
7.40389,0.597,5.617,20.2,26.4,17.2
14.4383,0.597,6.852,20.2,19.78,27.5
51.1358,0.597,5.757,20.2,10.11,15
14.0507,0.597,6.657,20.2,21.22,17.2
18.811,0.597,4.628,20.2,34.37,17.9
28.6558,0.597,5.155,20.2,20.08,16.3
45.7461,0.693,4.519,20.2,36.98,7
18.0846,0.679,6.434,20.2,29.05,7.2
10.8342,0.679,6.782,20.2,25.79,7.5
25.9406,0.679,5.304,20.2,26.64,10.4
73.5341,0.679,5.957,20.2,20.62,8.8
11.8123,0.718,6.824,20.2,22.74,8.4
11.0874,0.718,6.411,20.2,15.02,16.7
7.02259,0.718,6.006,20.2,15.7,14.2
12.0482,0.614,5.648,20.2,14.1,20.8
7.05042,0.614,6.103,20.2,23.29,13.4
8.79212,0.584,5.565,20.2,17.16,11.7
15.8603,0.679,5.896,20.2,24.39,8.3
12.2472,0.584,5.837,20.2,15.69,10.2
37.6619,0.679,6.202,20.2,14.52,10.9
7.36711,0.679,6.193,20.2,21.52,11
9.33889,0.679,6.38,20.2,24.08,9.5
8.49213,0.584,6.348,20.2,17.64,14.5
10.0623,0.584,6.833,20.2,19.69,14.1
6.44405,0.584,6.425,20.2,12.03,16.1
5.58107,0.713,6.436,20.2,16.22,14.3
13.9134,0.713,6.208,20.2,15.17,11.7
11.1604,0.74,6.629,20.2,23.27,13.4
14.4208,0.74,6.461,20.2,18.05,9.6
15.1772,0.74,6.152,20.2,26.45,8.7
13.6781,0.74,5.935,20.2,34.02,8.4
9.39063,0.74,5.627,20.2,22.88,12.8
22.0511,0.74,5.818,20.2,22.11,10.5
9.72418,0.74,6.406,20.2,19.52,17.1
5.66637,0.74,6.219,20.2,16.59,18.4
9.96654,0.74,6.485,20.2,18.85,15.4
12.8023,0.74,5.854,20.2,23.79,10.8
10.6718,0.74,6.459,20.2,23.98,11.8
6.28807,0.74,6.341,20.2,17.79,14.9
9.92485,0.74,6.251,20.2,16.44,12.6
9.32909,0.713,6.185,20.2,18.13,14.1
7.52601,0.713,6.417,20.2,19.31,13
6.71772,0.713,6.749,20.2,17.44,13.4
5.44114,0.713,6.655,20.2,17.73,15.2
5.09017,0.713,6.297,20.2,17.27,16.1
8.24809,0.713,7.393,20.2,16.74,17.8
9.51363,0.713,6.728,20.2,18.71,14.9
4.75237,0.713,6.525,20.2,18.13,14.1
4.66883,0.713,5.976,20.2,19.01,12.7
8.20058,0.713,5.936,20.2,16.94,13.5
7.75223,0.713,6.301,20.2,16.23,14.9
6.80117,0.713,6.081,20.2,14.7,20
4.81213,0.713,6.701,20.2,16.42,16.4
3.69311,0.713,6.376,20.2,14.65,17.7
6.65492,0.713,6.317,20.2,13.99,19.5
5.82115,0.713,6.513,20.2,10.29,20.2
7.83932,0.655,6.209,20.2,13.22,21.4
3.1636,0.655,5.759,20.2,14.13,19.9
3.77498,0.655,5.952,20.2,17.15,19
4.42228,0.584,6.003,20.2,21.32,19.1
15.5757,0.58,5.926,20.2,18.13,19.1
13.0751,0.58,5.713,20.2,14.76,20.1
4.34879,0.58,6.167,20.2,16.29,19.9
4.03841,0.532,6.229,20.2,12.87,19.6
3.56868,0.58,6.437,20.2,14.36,23.2
4.64689,0.614,6.98,20.2,11.66,29.8
8.05579,0.584,5.427,20.2,18.14,13.8
6.39312,0.584,6.162,20.2,24.1,13.3
4.87141,0.614,6.484,20.2,18.68,16.7
15.0234,0.614,5.304,20.2,24.91,12
10.233,0.614,6.185,20.2,18.03,14.6
14.3337,0.614,6.229,20.2,13.11,21.4
5.82401,0.532,6.242,20.2,10.74,23
5.70818,0.532,6.75,20.2,7.74,23.7
5.73116,0.532,7.061,20.2,7.01,25
2.81838,0.532,5.762,20.2,10.42,21.8
2.37857,0.583,5.871,20.2,13.34,20.6
3.67367,0.583,6.312,20.2,10.58,21.2
5.69175,0.583,6.114,20.2,14.98,19.1
4.83567,0.583,5.905,20.2,11.45,20.6
0.15086,0.609,5.454,20.1,18.06,15.2
0.18337,0.609,5.414,20.1,23.97,7
0.20746,0.609,5.093,20.1,29.68,8.1
0.10574,0.609,5.983,20.1,18.07,13.6
0.11132,0.609,5.983,20.1,13.35,20.1
0.17331,0.585,5.707,19.2,12.01,21.8
0.27957,0.585,5.926,19.2,13.59,24.5
0.17899,0.585,5.67,19.2,17.6,23.1
0.2896,0.585,5.39,19.2,21.14,19.7
0.26838,0.585,5.794,19.2,14.1,18.3
0.23912,0.585,6.019,19.2,12.92,21.2
0.17783,0.585,5.569,19.2,15.1,17.5
0.22438,0.585,6.027,19.2,14.33,16.8
0.06263,0.573,6.593,21,9.67,22.4
0.04527,0.573,6.12,21,9.08,20.6
0.06076,0.573,6.976,21,5.64,23.9
0.10959,0.573,6.794,21,6.48,22
0.04741,0.573,6.03,21,7.88,11.9
